FID,the_geom,code,timestamp,air_pressure,air_temperature,relative_humidity,precipitation,wind_speed,wind_direction,qc_flags
aws_10min.fid--18bb3085_18f8bd049eb_-6ead,POINT (4.358 50.797),6447,2024-03-12T17:20:00,1000.46,8.62,98.08,0.19,,191.2,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6eac,POINT (4.358 50.797),6447,2024-03-12T17:30:00,1000.64,8.66,98.66,0.19,,209,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6eab,POINT (4.358 50.797),6447,2024-03-12T17:40:00,1000.56,8.7,98.57,0.14,,199.7,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6eaa,POINT (4.358 50.797),6447,2024-03-12T17:50:00,1000.71,8.75,98.74,0.06,,200,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6ea9,POINT (4.358 50.797),6447,2024-03-12T18:00:00,1000.82,8.81,99.11,0.15,,208.8,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6ea8,POINT (4.358 50.797),6447,2024-03-12T18:10:00,1000.83,8.88,99.43,0.43,,207.2,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6ea7,POINT (4.358 50.797),6447,2024-03-12T18:20:00,1000.88,8.99,99.65,0.5,,211,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6ea6,POINT (4.358 50.797),6447,2024-03-12T18:30:00,1000.88,9.13,99.73,0.25,,220,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6ea5,POINT (4.358 50.797),6447,2024-03-12T18:40:00,1000.88,9.22,100,0.19,,228,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6ea4,POINT (4.358 50.797),6447,2024-03-12T18:50:00,1001,9.31,100,0.13,,235.4,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
